school,city,state
Air Force Institute of Technology ,Wright Patterson AF, OH
Arizona State University ,Tempe, AZ
Auburn University ,Auburn, AL
Binghamton University—_SUNY ,Binghamton, NY
Boston University,Boston, MA
Brandeis University ,Waltham, MA
Brigham Young University ,Provo, UT
Brown University,Providence, RI
California Institute of Technology ,Los Angeles, CA
Carnegie Mellon University ,Pittsburgh, PA
Case Western Reserve University ,Cleveland, OH
Claremont Graduate University ,Claremont, CA
Clemson University ,Clemson, SC
College of William and Mary ,Williamsburg, VA
Colorado School of Mines ,Golden, CO
Colorado State University ,Fort Collins, CO
Columbia University,New York, NY
Cornell University ,Ithaca, NY
CUNY Graduate School and University Center ,New York, NY
Dartmouth College ,Hanover, NH
DePaul University ,Chicago, IL
Drexel University ,Philadelphia, PA
Duke University ,Durham, NC
Florida Atlantic University ,Boca Raton, FL
Florida Institute of Technology ,Melbourne, FL
Florida International University ,Miami, FL
Florida State University,Tallahassee, FL
George Mason University ,Fairfax, VA
George Washington University ,Washington, DC
Georgia Institute of Technology ,Atlanta, GA
Georgia State University ,Atlanta, GA
Harvard University ,Boston, MA
Illinois Institute of Technology ,Chicago, IL
Indiana State University ,Terre Haute, IN
Indiana University—_Bloomington ,Bloomington, IN
Iowa State University ,Ames, IA
Johns Hopkins University,Baltimore, MD
Kansas State University ,Manhattan, KS
Kent State University ,Kent, OH
Lehigh University ,Bethlehem, PA
LIU Post ,Long Island, NY
Louisiana State University—_Baton Rouge ,Baton Rouge, LA
Louisiana Tech University ,Ruston, LA
Massachusetts Institute of Technology ,Boston, MA
Michigan State University ,East Lansing, MI
Michigan Technological University ,Houghton, MI
Mississippi State University ,Mississippi State,
Missouri University of Science & Technology ,Rolla, MO
Montana State University ,Bozeman, MT
Naval Postgraduate School ,Monterey, CA
New Jersey Institute of Technology ,Newark, NJ
New Mexico Institute of Mining and Technology ,Socorro, NM
New Mexico State University ,Las Cruces, NM
New York University ,New York, NY
North Carolina State University ,Raleigh, NC
North Dakota State University ,Fargo, ND
Northeastern University ,Boston, MA
Northwestern University ,Chicago, IL
Nova Southeastern University ,Ft. Lauderdale, FL
Oakland University ,Rochester, MI
Ohio State University ,Columbus, OH
Oklahoma State University ,Stillwater, OK
Old Dominion University ,Norfolk, VA
Oregon Health and Science University ,Portland, OR
Oregon State University,Corvallis, OR
Pennsylvania State University ,University Park, PA
Polytechnic University of New York,New York, NY
Portland State University ,Portland, OR
Princeton University ,Princeton, NJ
Purdue University—_West Lafayette ,West Lafayette, IN
Rensselaer Polytechnic Institute ,Troy, NY
Rice University ,Houston, TX
Rutgers University—_New Brunswick ,Piscataway, NJ
Southern Methodist University ,Dallas, TX
Stanford University ,San Francisco, CA
State University of New York at Albany,Albany, NY
State University of New York at Buffalo,Buffalo, NY
Stevens Institute of Technology ,Hoboken, NJ
